Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank
Indian Institute of Technology Delhi,"Textile Technology (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,5007,6580
Indian Institute of Technology Delhi,"Textile Technology (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),10707,12984
Indian Institute of Technology Delhi,"Textile Technology (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,212P,212P
Indian Institute of Technology Delhi,"Textile Technology (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1067,1264
Indian Institute of Technology Delhi,"Textile Technology (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),2592,2742
Indian Institute of Technology Delhi,"Textile Technology (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,2559,3313
Indian Institute of Technology Delhi,"Textile Technology (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),5659,6765
Indian Institute of Technology Delhi,"Textile Technology (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,1291,1775
Indian Institute of Technology Delhi,"Textile Technology (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),3142,3546
Indian Institute of Technology Delhi,"Textile Technology (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,934,1189
Indian Institute of Technology Delhi,"Textile Technology (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),1341,1341
Indian Institute of Technology Indore,"Applied and Industrial Chemistry (4 Years, Bachelor of Science)",AI,OPEN,Gender-Neutral,12653,15409
Indian Institute of Technology Indore,"Applied and Industrial Chemistry (4 Years, Bachelor of Science)",AI,OPEN,Female-only (including Supernumerary),20499,22724
Indian Institute of Technology Indore,"Applied and Industrial Chemistry (4 Years, Bachelor of Science)",AI,EWS,Gender-Neutral,2400,2460
Indian Institute of Technology Indore,"Applied and Industrial Chemistry (4 Years, Bachelor of Science)",AI,OBC-NCL,Gender-Neutral,5746,5870
Indian Institute of Technology Indore,"Applied and Industrial Chemistry (4 Years, Bachelor of Science)",AI,OBC-NCL,Female-only (including Supernumerary),10050,10050
Indian Institute of Technology Indore,"Applied and Industrial Chemistry (4 Years, Bachelor of Science)",AI,SC,Gender-Neutral,3090,3225
Indian Institute of Technology Indore,"Applied and Industrial Chemistry (4 Years, Bachelor of Science)",AI,SC,Female-only (including Supernumerary),4725,4725
